Be_quiet的中文？ 安靜 好吵 你好 我還好
請問哪個不是與神同行裡面出現的地獄？ 不忠 說謊 怠惰 背叛
請問我愛你後面要接甚麼？ 無畏人海的擁擠 呵呵阿依 就像老鼠愛大米 曖昧讓人受盡委屈
這個遊戲名稱是什麼？ 鬥智地下城 鬥智地下龍 鬥智精武門 地下城鬥智
請問什麼行為是違法的？ 變成浩克在7-11打警察 影印1頁講義 玩鬥智地下城 親自己一下
請問什麼行為是合法的？ 跟吳柏承吃飯 在7-11拍打鬥影片 強姦別人 逃獄
下列對非對稱式加密何者正確？ 加密用收件人公鑰 解密用寄件人私鑰 加密用寄件人公鑰 解密用收件人公鑰
蘋果的英文？ apple pineapple aplle asepa
何者非Blackpink成員？ jessica jennie jisoo lisa
何者不是G-idle成員？ 柏承 舒華 薇娟 雨琦
誰最愛洗澡？ 靜香 大雄 胖虎 曾國城
給我一杯忘情水，下一句？ 讓我今夜不流淚 讓我今夜睡好眠 讓我今夜有人陪 讓我今夜一直醉
掌聲響起來，下一句？ 我心更明白 我會更可愛 今天真精彩 我心會明白
傷心酒店是誰唱的？ 江蕙 黃乙玲 盧廣仲 吳柏承
你說是我們相見恨晚，下一句？ 我說為愛你不夠勇敢 我說想愛你不夠勇敢 我說要愛你不夠勇敢 我說真愛你不夠勇敢
一見鍾情是誰唱的？ 藍心湄 鍾欣凌 徐懷鈺 彭佳慧
等下一個天亮誰唱的？ 郭靜 郭淑靜 郭美玲 郭襄
心牆原唱是誰？ 貝貝 郭襄 郭大俠 郭靜
100-66=？ 34 44 24 14
第27屆金曲獎最佳國語女歌手是？ 彭佳慧 蔡健雅 張惠妹 許哲珮
請問下列哪個國家沒有殖民過台灣？ 葡萄牙 西班牙 日本 荷蘭
請問下列哪個物質不會產生熱量？ 水 脂質 蛋白質 醣類
請問下列哪個部位可以維持身體平衡？ 小腦 腦幹 脊髓 腦垂腺
請問下列物質何者pH值最低？ 鹽酸 牛奶 氨水 石灰水
請問下列何者不是二戰時的軸心國？ 美國 日本 德國 義大利
請問下列何者不是二戰時的同盟國？ 德國 美國 英國 蘇聯
請問下列何者不是一戰時的協約國？ 德意志帝國 法蘭西共和國 美國 俄羅斯帝國
請問下列何者不是一戰時的同盟國？ 大英帝國 德意志帝國 奧匈帝國 鄂圖曼帝國
請問下列何者不是聯合國安全理事會常任理事國？ 德國 英國 法國 俄羅斯
請問下列何者不屬於G7？ 俄羅斯 義大利 加拿大 法國
請問AB型和A型的父母不可能生出哪一型的孩子？ O型 AB型 A型 B型
請問光合作用不會產生下列哪個物質？ 二氧化碳 水 葡萄糖 氧氣
哪首歌是梅艷芳唱的? 女人花 男人花 情人花 梔子花
跑步比賽跑贏第一名會變成第幾名? 1 2 3 最後一名
69+96=? 165 155 175 185
根據統計哪個英文名字的人最渣？ Tyler Ryan Justin Jason 
俄羅斯現在在打哪個國家? 烏克蘭 紐西蘭 愛爾蘭 台灣
下列哪個不是台灣現有的政黨? 愛心黨 正神名黨 新黨 勞動黨
下列哪個不是台灣曾有的政黨? 無法無天黨 台灣麻將最大黨 更生黨 歡樂無法黨
台灣四大教主，哪個不是職稱? 美麗教主 可愛教主 流行教主 電眼教主
哪位不是台灣四大教主? 張清芳 蔡依林 楊丞琳 王心凌
哪首不是蔡依林的歌? 馬的不思議 我知道你很難過 第三人稱 就是愛
哪一句有錯字? 可惡的小牆下到我 我要快樂我要能睡 食之無味棄之可惜 我能想到最浪漫的事 
哪句有冗言贅字? 小柏擅長能言善道 他是命案最大嫌疑犯 曾學霸樂善好施 我愛你
每一天地球的重量不斷增加，現在已增長60噸? 宇宙塵埃 人類 食物 臭氧 
俄羅斯、土耳其、埃及的共同點是什麼？ 他們都橫跨兩個大陸 他們都要攻擊烏克蘭 他們都是同一個總統 他們都有北極熊
哪個不是影集六人行的主角? jennie ross monica phoebe 
在<被討厭的勇氣>一書提及我們都應該有? 被討厭的勇氣 被性侵的勇氣 被家暴的勇氣 被稱讚的勇氣
心理學有五大學派，和者非其之一? 資本主義學派 人本主義學派 認知學派 行為主義學派
下列哪個不為安眠藥品牌? 柔一 柔拍 樂必眠 FM2
以那麼會唱歌的吳柏承請問他最高合理音域可到? C6 F8 C9 E10
台北101外觀有幾種顏色? 7 5 6 8
台灣1000元鈔票上有印什麼? 地球儀 小雞 鮪魚 櫻花
為什麼有台北台南台中台東卻沒有台西? 台語諧音不吉利 日治時期日本人規定的 為了紀念823砲戰 吳柏承討厭台西
七夕誰會跟誰見面? 牛郎織女 牛郎嫦娥 嫦娥織女 柏承牛郎
每過60秒代表? 今天已經逝去1分鐘了 明天有1441分鐘 今天多了1分鐘 明天多了60秒
西元2004年是民國? 93年(吳柏承出生那年) 92年 91年 89年
哪個不是Dysauto-nomia症狀? 染色體少1條 失眠 焦慮 肚子痛
中興沒有什麼系? 醫學系 資工系 應經系 景觀系
台灣第一學府是? 台大 中興 成大 大葉
大葉大學位於? 彰化 台中 台南 高雄
下列何者不是資工系出路? 殺人 做這個白癡遊戲 程式設計師 大數據分析師
中興大學是台中第一大學，該大學沒有哪一社團? 福利社 波西米亞西畫社 新頹廢劇場社 工讀生聯誼社
哪一首歌有出現李玟? 月亮代表我的心 我只在乎你 掌聲響起 快樂崇拜
下列何者有錯字? 完成一百提了，我好棒 我恨你 我討厭這個世界 早安午安晚安 
<我只在乎你>是誰唱的? 鄧麗君 鄧小平 鄧福如 鄧超
<雨蝶>是誰唱的? 李翊君 鄧麗君 聶小倩 張雨生
<天天想你>是誰唱的? 張雨生 許志摩 蔣經國 李天渭
<親愛的你怎麼不在我身邊>原唱? 江美琪 曾學文 江蕙 李亞萍
<惡作劇之吻>一劇女主角是? 林依晨 林心如 林志炫 鳳飛飛
<征服>是誰唱的? 那英 那美 娜娜子 那個人
<存在的力量>是誰唱的? 朱俐靜 茱麗葉 羅密歐 費玉清
你總是心太軟，心太軟，下一句? 獨自一個人流淚到天亮 總是一個人流淚到天亮 沒人陪你一起流淚 阿里山的姑娘美如水
<北極雪>的女歌手同時也唱<記事本>是? 陳慧琳 陳其邁 陳奕中 陳淑華
<夢醒時分>是誰唱的? 陳淑華 陳奕中 陳信仁 陳昇
願意為你，我願意為你，下一句? 我願意為你被放逐天際 我願意維尼 我願意維尼熊 我願意維尼習近平
<新不了情>原唱? 萬芳 蕭敬騰 彭佳慧 戴愛玲
我可以，陪你去看星星，下一句? 不用再多說明 不用一直說明 現在我要尖叫 再陪你看猩猩
下列哪個團體名稱不正確? 北拳媽媽 南拳媽媽 五月天 八三夭
哪個工具有被當作團體名稱? 滅火器 消防栓 噴水柱 水龍頭
哪個食物不是歌手? 火腿 蛋堡 熱狗 奶茶
<你累了嗎???>是哪個廣告永遠的開頭? 保力達蠻牛 舒跑 fin 衛生署接種疫苗廣告
<我是一隻小小鳥>是誰唱的? 趙傳 趙正平 趙常吃 趙常睡
你的體貼，溫暖了我的心,下一句? 就像夏天的風 就像秋天的風 就像春天的風 就像冬天的風
我願變成童話裡你愛的那個，來自<童話>? 天使 狗屎 惡魔 小孩
<情難枕>誰唱的? 林慧萍 楊林 梁詠琪 趙詠華
<愛江山更愛美人>哪個候選人唱過? 吳萼洋 李佳芬 李麗芬 蔡秋鳳
超級偶像是台灣歌唱節目，第三屆冠軍是? 朱俐靜 曾佩慈 艾怡良 艾成
請問王心凌上了什麼中國節目再度爆紅? 乘風破浪的姊姊 乘風破浪的妹妹 乘著風的女人 女漢子
哪位歌手不是美國人? 吳文芳 惠妮休斯頓 瑪麗亞凱莉 席琳狄翁
周慧敏曾客串過哪部電影? 等一個人咖啡 我的少女時代 我的少男時代 不良少年
<刻在我心底的名字>是哪部電影主題曲? 刻在你心底的名字 刻在我心底的名字 關於我和鬼變成家人 與愛同居
台灣本土twice代表是誰? 白冰冰 白家琦 趙飛燕 楊繡惠
<飄洋過海來看你>用了幾年的積蓄來看你? 半年 一年 兩年 三年
<死了都要愛>是誰唱的? 信樂團 信義團 義和團 阿信(五月天主唱)
<陰天>誰唱的?(提示她唱過慢慢喜歡你) 莫文蔚 黃鶯鶯 張亮穎 李佳薇
宮崎駿的<龍貓>在台灣又被稱作? 豆豆龍 雨傘龍 大肥龍 可愛龍
我沒醉，我沒醉，沒醉，是哪首著名台語歌? 酒後的心聲 我沒醉 無言花 半醉半清醒
關於台中育兒津貼何者正確？ 每胎補助2萬 每胎補助1萬 幼兒送公托補助五千元 幼兒送公托補助四千五
